word,n,ranking
CHF,246,1
US,167,2
UN,163,3
USD,132,4
UK,107,5
AG,105,6
ESG,104,7
CO,77,8
EMEA,70,9
NGOs,66,10
IT,63,11
GRI,60,12
WWF,47,13
UNEP,45,14
ISO,44,15
FI,41,16
SMEs,38,17
FINCA,34,18
SGS,31,19
III,30,20
RSPO,30,20
EU,26,22
LGBT,26,22
SVC,26,22
FTE,25,25
SDGs,25,25
FINMA,24,27
QR,23,28
TLAC,22,29
CEO,21,30
PRI,21,30
LED,20,32
DJSI,19,33
ERCs,19,33
FTSE,19,33
ATMs,18,36
II,18,36
WEF,18,36
EP,17,39
FSC,17,39
TBTF,17,39
CET,16,42
ICC,16,42
NGO,16,42
REAM,16,42
SBA,16,42
SIX,16,42
GHG,15,48
IPO,15,48
ASrIA,14,50
OECD,14,50
RRSC,14,50
CARE,13,53
ECO,13,53
FSB,13,53
GBP,13,53
IIF,13,53
RRRP,13,53
EUR,12,59
GFMA,12,59
GRESB,12,59
BIS,11,62
EFR,11,62
IFC,11,62
LEED,11,62
CS,10,66
HCVF,10,66
MSCI,10,66
UNESCO,10,66
APAC,9,70
CDP,9,70
FATCA,9,70
GCP,9,70
IGOs,9,70
ISDA,9,70
MCBI,9,70
RobecoSAM,9,70
SME,9,70
SNB,9,70
AFME,8,80
CSCfC,8,80
HR,8,80
IndexSM,8,80
AAA,7,84
CCC,7,84
COP,7,84
GBI,7,84
MiFID,7,84
NYSE,7,84
PKOM,7,84
REIM,7,84
ACCION,6,92
AGM,6,92
BDCs,6,92
ERC,6,92
FX,6,92
IPOs,6,92
IV,6,92
MWh,6,92
REF,6,92
STOXX,6,92
TPRM,6,92
CCAs,5,103
DEFRA,5,103
ETH,5,103
ICT,5,103
KIPP,5,103
MTR,5,103
PDF,5,103
RMBS,5,103
SIFMA,5,103
SPOTT,5,103
UHNWI,5,103
AIC,4,114
ASIFMA,4,114
ATM,4,114
BB,4,114
CRO,4,114
DOJ,4,114
DRCs,4,114
EMIR,4,114
EMS,4,114
HOLT,4,114
IHC,4,114
IHRF,4,114
IUCN,4,114
LTI,4,114
NG,4,114
PS,4,114
REIS,4,114
RI,4,114
SDC,4,114
SECO,4,114
SI,4,114
STI,4,114
SUISSE,4,114
UNICEF,4,114
VII,4,114
AEI,3,139
ATS,3,139
BCA,3,139
CEOs,3,139
FNG,3,139
GEI,3,139
LIBOR,3,139
NFE,3,139
NPOs,3,139
OHSAS,3,139
PAC,3,139
PAF,3,139
PEP,3,139
RRPs,3,139
SEC,3,139
SRI,3,139
STEM,3,139
VI,3,139
WCD,3,139
AA,2,158
AAE,2,158
AEOI,2,158
AFIF,2,158
AIFMD,2,158
AND,2,158
ASSURANCE,2,158
BBB,2,158
CEB,2,158
CFF,2,158
CFIG,2,158
CH,2,158
CPIC,2,158
CRC,2,158
CREDIT,2,158
CRS,2,158
CSBI,2,158
CSR,2,158
CSRI,2,158
DQG,2,158
DRC,2,158
ETF,2,158
FHFA,2,158
GAAP,2,158
GO,2,158
GWh,2,158
HVHDUFK,2,158
IC,2,158
ICRC,2,158
IFZ,2,158
IG,2,158
IGA,2,158
INSEAD,2,158
INSPIRE,2,158
IPCC,2,158
LCD,2,158
MBA,2,158
MFP,2,158
NCUA,2,158
ON,2,158
ONE,2,158
RM,2,158
RRP,2,158
RWA,2,158
SAM,2,158
SFC,2,158
SGD,2,158
SRU,2,158
SSF,2,158
STATEMENT,2,158
STG,2,158
SUPPORT,2,158
TCFD,2,158
USA,2,158
WE,2,158
ABB,1,213
AEE,1,213
AIDS,1,213
AMIC,1,213
AML,1,213
ANCE,1,213
ASIC,1,213
AURA,1,213
BCBS,1,213
BCNs,1,213
BEHALF,1,213
BSR,1,213
BUSINESSEUROPE,1,213
CCA,1,213
CCAR,1,213
CCRO,1,213
CERTIFIER,1,213
CFO,1,213
CHECK,1,213
CIFOR,1,213
CITES,1,213
CLIP,1,213
COMPETENCIES,1,213
CONTENT,1,213
CPPs,1,213
CSI,1,213
DP,1,213
EMC,1,213
EMPIRIS,1,213
EN,1,213
EnAW,1,213
ESD,1,213
ESST,1,213
FDA,1,213
FDF,1,213
FFSA,1,213
FIDLEG,1,213
FinIA,1,213
FIRST,1,213
FKDQJH,1,213
FM,1,213
FOR,1,213
FRTB,1,213
FSA,1,213
FT,1,213
GALLE,1,213
GDP,1,213
GP,1,213
GROUP,1,213
HCVFs,1,213
HFRQRPLF,1,213
HIV,1,213
HJLPH,1,213
HMS,1,213
HYLYDO,1,213
HYT,1,213
IAEA,1,213
IEA,1,213
IFRC,1,213
IKV,1,213
INDEPENDENCE,1,213
iOS,1,213
IR,1,213
IRUHPRVW,1,213
IURP,1,213
KEYSTONE,1,213
KiOR,1,213
KKR,1,213
KMS,1,213
KOF,1,213
KPIs,1,213
KRXJKW,1,213
KYC,1,213
LLC,1,213
LUX,1,213
LWA,1,213
METHODOLOGY,1,213
MFIs,1,213
MiFIR,1,213
NPO,1,213
NRDC,1,213
NRG,1,213
OCI,1,213
OF,1,213
OHDGHUVKLS,1,213
OPINION,1,213
ORM,1,213
PC,1,213
PCI,1,213
PEPs,1,213
PERF,1,213
PLS,1,213
PV,1,213
QVWLWXWH,1,213
RAN,1,213
RFF,1,213
ROI,1,213
RRRC,1,213
RY,1,213
RYHPEHU,1,213
SA,1,213
SCOPE,1,213
SDG,1,213
SGDs,1,213
SHUWV,1,213
SIGNED,1,213
SKS,1,213
SMS,1,213
SOCAP,1,213
SRECs,1,213
STOCK,1,213
STR,1,213
SULQJ,1,213
SwissECS,1,213
TARGETJobs,1,213
TEAM,1,213
TK,1,213
TV,1,213
UAE,1,213
UCITS,1,213
UHGLW,1,213
URP,1,213
VC,1,213
WKH,1,213
WR,1,213
WUDQVIRUPDWLRQ,1,213
XLVVH,1,213
YBI,1,213
YBR,1,213
YES,1,213
YMCA,1,213
ZHdK,1,213
ZRUOG,1,213
